World Port Index Number,Region Name,Main Port Name,Latitude,Longitude
7950,United States E Coast -- 6585,Maurer,40.533333,-74.25
52235,Sulawesi -- 51970,Mangkasa Oil Terminal,-2.733333,121.066667
47620,Madagascar -- 47350,Iharana,-13.35,50
47360,Madagascar -- 47350,Andoany,-13.4,48.3
47020,Tanzania -- 46965,Chake Chake,-5.25,39.766667
47005,Tanzania -- 46965,Mjimwema Terminal,-6.816667,39.366667
57245,Vanuatu -- 57160,Forari Bay,-17.683333,168.55
56820,Bismarck Archipelago -- 56700,Kokopo,-4.333333,152.266667
56710,Bismarck Archipelago -- 56700,Longan Island,-1.216667,144.3
56660, ,Malakal Harbor,7.333333,134.45
56630,Caroline Islands -- 56560,Colonia,9.516667,138.133333
56600,Caroline Islands -- 56560,Moen,7.433333,151.833333
56570,Caroline Islands -- 56560,Lele Harbor,5.333333,163.033333
44804,Turkey Asia -- 44360,Delta Terminal,36.85,36.166667
50350,Indonesia -- 50020,Cinta Oil Terminal,-5.5,106.233333
4000,Canada Lake Huron -- 3640,Port Severn,44.8,-79.716667
38330,Gibraltar -- 38320,Europa Point,36.133333,-5.35
56945,Papua New Guinea -- 56695,Queen Carola Harbor,-5.166667,154.55
7010,United States E Coast -- 6585,New Harbor,43.866667,-69.483333
5980,Cape Breton Island -- 5860,Little Bras D Or,46.25,-60.3
53020,New Guinea West Coast - Irian Jaya -- 52900,Tg. Sorong,-0.883333,131.233333
4950,US Lake Michigan -- 4570,Depere,44.45,-88.066667
4630,US Lake Michigan -- 4570,Leland,45.016667,-85.766667
20940,Norway -- 20620,Bredvik,70.583333,22.133333
19880,Alaska -- 19080,Lazy Bay,56.9,-154.25
12900,Brazil SE Coast -- 12700,Dtse / Gegua Oil Terminal,-22.816667,-43.15
48104,Saudi Arabia -- 48100,Sharmah,27.933333,35.25
9210,US Gulf Coast -- 8650,Norsworthy,29.733333,-95.2
8400,United States E Coast -- 6585,Bayboro,35.15,-76.766667
4240,Canada Lake Huron -- 3640,Hilton,46.25,-83.883333
4160,Canada Lake Huron -- 3640,Kagawong,45.916667,-82.25
3130,US Lake Ontario -- 3120,Chaumont,44.066667,-76.133333
20000,Alaska -- 19080,Kanatak,57.566667,-156.033333
5520,South Side -- 5501,Douglastown,48.766667,-64.383333
28615,Latvia -- 28600,Lielupe,57,23.433333
19630,Alaska -- 19080,Katalla,60.2,-144.533333
6750,United States E Coast -- 6585,Minturn,44.15,-68.45
6820,United States E Coast -- 6585,Criehaven,43.833333,-68.883333
29800,Aero -- 29780,Aeroskobing,54.883333,10.416667
43950,Ukraine -- 43620,Kyrylivka,46.35,35.366667
46691,Ascension -- 46660,North Point,-7.883333,-14.366667
57433,Thailand -- 57431,Bongkot Terminal,8.05,102.333333
52350,Sulawesi -- 51970,Donggala,-0.65,119.733333
3790,Canada Lake Huron -- 3640,Lions Head,44.983333,-81.25
4150,Canada Lake Huron -- 3640,Honora,45.866667,-82.166667
23300,Norway -- 20620,Meling,59.783333,5.116667
23107,Norway -- 20620,Bud,62.9,6.916667
23455,Norway -- 20620,Espevaer,59.583333,5.15
19970,Alaska -- 19080,Bear Island,58.45,-152.683333
20270,Alaska Continued -- 20185,Koggiung,58.966667,-156.916667
20350,Alaska Continued -- 20185,Hamilton,62.9,-163.916667
5150,Canada Lake Superior -- 5120,Gargantua,47.566667,-84.966667
42415,Greece East Coast -- 42010,Larimna,38.566667,23.283333
31895,Scotland East Coast -- 31870,Bird Port,51.566667,-2.966667
38420,Spain SE Coast -- 38340,Hornillo,37.4,-1.55
40245,Italy -- 39125,Melilli Oil Terminal,37.116667,15.25
43940,Ukraine -- 43620,Henichesk,46.166667,34.816667
48464,Iran -- 48410,Barkan Oil-loading Terminal,29.733333,50.166667
55500,Norfolk Island -- 55490,Kingston,-29.066667,167.95
51290,Lesser Sunda Islands -- 51250,Labuhanhaji,-8.7,116.566667
57415,Malaysia -- 57400,Kirteh Oil Terminal,4.566667,103.466667
47942,Sudan -- 47910,Al Khair Oil Terminal,19.583333,37.25
18915,Canada West Coast -- 18080,Bella Bella,52.166667,-128.15
19290,Alaska -- 19080,Fishermans Harbor,55.966667,-133.8
5970,Cape Breton Island -- 5860,Grand Narrows,45.95,-60.783333
6670,United States E Coast -- 6585,Corea,44.4,-67.966667
7315,United States E Coast -- 6585,Hyannis Port,41.633333,-70.3
58630,Philippine Islands -- 57960,Laoang,12.566667,125.016667
59550,Philippine Islands -- 57960,Margosatubig,7.583333,123.166667
60720,Russia -- 60530,Bukhta Gaydamak,42.866667,132.683333
4720,US Lake Michigan -- 4570,Saugatuck,42.666667,-86.2
19930,Alaska -- 19080,Dry Spruce Bay,57.933333,-153.033333
19980,Alaska -- 19080,Hogg Island,58.466667,-152.683333
20410,Alaska Continued -- 20185,Grantley Harbor,65.266667,-166.333333
5070,US Lake Michigan -- 4570,Nahma,45.833333,-86.666667
44270,Russia -- 44030,Adler,43.433333,39.933333
45635,Algeria -- 45470,Arzew El Djedid,35.816667,-0.25
45822,Senegal -- 45817,Karabane,12.566667,-16.666667
46335,Equatorial Guinea -- 46300,Ceiba Terminal,1.416667,9.233333
46710,Tristan Island -- 46700,Edinburgh Of The Seven Seas,-37.05,-12.3
14175,Chile -- 14070,Caleta Mina Elena,-52.683333,-71.9
19100,Alaska -- 19080,Hidden Inlet,54.95,-130.333333
19120,Alaska -- 19080,George Inlet,55.383333,-131.466667
19200,Alaska -- 19080,Burnett Inlet,56.066667,-132.466667
19600,Alaska -- 19080,Letnikof Cove,59.183333,-135.4
19710,Alaska -- 19080,Crab Bay,60.066667,-148
6970,United States E Coast -- 6585,Monhegan,43.766667,-69.316667
6710,United States E Coast -- 6585,Northeast Harbor,44.3,-68.283333
6800,United States E Coast -- 6585,Bucks Harbor,44.333333,-68.733333
6830,United States E Coast -- 6585,Matinicus,43.866667,-68.883333
43780,Ukraine -- 43620,Balaklava,44.5,33.6
43810,Ukraine -- 43620,Alushta,44.683333,34.416667
49460,India East Coast -- 49310,Machilipatnam,16.15,81.166667
49875,Malaysia -- 49820,Malong Marine Terminal,4.633333,104.816667
63090,Antarctica -- 63060,Admiralty Bay,-62.083333,-58.416667
63110,Antarctica -- 63060,Melchior Harbor,-64.316667,-63
7900,United States E Coast -- 6585,Grasselli,40.616667,-74.2
543,Greenland East Coast -- 540,Kusanartoq,61.766667,-42.216667
2350,Ottawa River -- 2270,Carillon,45.566667,-74.366667
4020,Canada Lake Huron -- 3640,Depot Harbour,45.316667,-80.1
44807,Italy -- 40345,Aksaz Limani,36.833333,28.383333
46239,Nigeria -- 46120,Egina Oil Terminal,3.066667,6.7
46452,Gabon -- 46410,Olowi Marine Terminal,-3.133333,10.216667
47625,Madagascar -- 47350,Antsohim Bondrona,-13.083333,48.833333
51780,Indonesia - Borneo -- 51760,Lingkas,3.283333,117.6
53195,New Guinea SE Coast -- 53140,Discovery Bay,-10.416667,150.416667
